DienTich,Duong,SoTang,SoPhong,Gia
69,6,3,4,6.299
44,4,1,2,1.68
70,7,3,4,6.4
60,5,2,3,4.5
65,8,5,5,12.8
100,8,1,4,1.35
81,8,5,4,12.3
50,6,2,2,3.2
140,4,3,4,5.9
90,1,2,3,1.15
90,2,2,3,8.35
90,1.2,2,4,8.75
49,4,1,2,2.3
60,8,1,2,2.8
55,6,4,4,5.6
148,6,3,4,2.3
48,4,1,2,2.1
180,1.2,1,4,0.96
40,5,1,2,2.2
45,6,1,2,0.35
164,1.2,2,3,80
70,3,5,9,7.3
125,6,1,4,3.1
70,4,4,4,3.45
80,1.2,4,5,4.6
71,6,3,4,6.49
90,6,1,3,1.4
668,1.6,4,6,25
85,8,2,4,3.15
250,1.2,3,4,4.6
50,5,5,4,2.7
55,3,5,4,2.6
50,3,5,4,2.65
40,3,5,4,2.75
120,6,2,2,1.15
94,1.6,3,4,3.25
80,8,4,4,3
80,8,3,4,3
80,1.6,3,4,3
150,1.6,2,2,0.96
45,6,3,4,2.18
96,8,2,4,0.84
92,7,2,4,8.7
40,1.2,1,2,140
40,8,1,2,0.415
280,1.2,4,6,4.6
32,8,1,2,0.495
50,4,3,4,8
40,6,1,1,0.47
360,1.2,3,5,5.5
95,1.2,2,5,4.25
360,1.2,3,5,5.5
60,7,3,4,5.9
55,1,3,4,5.92
56,4,2,4,5.32
56,5,3,4,5.3
30,4,1,2,1.28
220,1,2,5,3.2
112,1.2,1,2,0.34
155,6,1,4,4.45
86,6,2,4,3.45
86,6,2,4,3.45
86,6,2,4,3.45
51,1.2,4,5,4.6
60,3,1,2,3.6
175,8,2,6,13.5
99,2.6,2,4,1.95
50,2.4,3,3,4.8
80,2,2,4,3.2
49,5,1,2,3.38
49,5,1,2,3.38
340,7,5,5,8.9
36,2.5,5,3,3.75
36,3.5,5,3,4.88
300,1.6,1,18,0.65
188,0,7,42,34
95,1,3,5,3.15
300,1.6,1,2,0.69
180,8,3,6,7.2
130,8,2,6,8.3
95,1,3,5,3.15
171,8,1,22,39.9
300,1.2,5,5,4.6
135,6,8,52,24.5
119,1,2,4,4.5
104,1,3,4,3.9
45,3.7,4,4,5.5
50,3,5,3,5.35
65,6,7,8,16.5
135,4,1,8,0.96
80,6,3,4,11.9
82,8,2,4,3.13
86,8,2,4,3.25
86,1,2,4,3.32
85,1.2,2,4,3.23
75,8,4,4,13.5
63,4,3,3,8.3
30,2.5,4,3,2.5
95,2,2,5,3.15
68,8,3,5,3.15
95,1.2,3,5,5.15
120,1.2,3,5,3
160,1,2,2,6
160,1.2,2,5,5.1
50,5,7,5,14.5
42,4.2,6,4,10.6
56,9,4,4,7.8
82,1.2,3,3,11.2
75,6,2,4,5.95
70,6,4,5,6.4
70,6,4,5,6.4
70,5,3,4,5.8
96,8,3,4,5.9
51,9,2,2,3.05
121,3,6,12,25
80,6,3,4,5.95
165,6,3,4,14.5
90,5.5,1,2,4.2
192,1.2,3,5,9.2
95,1.2,3,5,3.15
130,8,2,4,8.7
140,1.2,2,4,4
250,1.2,4,5,4.6
250,1.2,4,4,4.6
150,1,5,7,13
100,1.2,1,4,1.1
80,8,4,4,6.05
42,2.5,5,4,5.1
35,3,5,4,4
92,5,7,6,38
100,4,8,5,34.2
137,1.3,2,4,3.8
160,4,9,9,67
150,8,4,4,6.6
50,6,3,4,7.5
30,5,5,3,3.5
240,2,5,30,62
28,3,4,3,2.8
626,1,4,6,65
133,1,6,4,41
72,1.2,2,5,8.9
53,4.5,4,3,6.2
180,1.2,3,5,3.2
145,1.2,3,5,3.2
64,1,4,5,25
45,6,1,3,0.225
365,2,1,1,24
380,1.5,1,3,36.7
50,6,6,9,10.4
